title,Genre
"Dance Dreams: Hot Chocolate Nutcracker",Documentary
"Derren Brown: Sacrifice",Drama
"El Pepe: A Supreme Life",Documentary
"End Game",Documentary
Evelyn,Documentary
Ferry,Drama
"Grass Is Greener",Documentary
"Guillermo Vilas: Settling the Score",Documentary
"Joshua: Teenager vs. Superpower",Documentary
"Keith Richards: Under the Influence",Documentary
"Knock Down the House",Documentary
"Loudon Wainwright III: Surviving Twin",Interviews
"My Beautiful Broken Brain",Documentary
"One of Us",Documentary
"Pieces of a Woman",Drama
"Ram Dass, Going Home",Documentary
"ReMastered: Tricky Dick & the Man in Black",Documentary
"Rooting for Roona",Documentary
"The Devil All the Time",Thriller
"The Dig",Drama
"The Great Hack",Documentary
"The White Tiger",Drama
"To All the Boys I've Loved Before",Rom-Com
"American Murder: The Family Next Door",Documentary
"Audrie & Daisy",Documentary
"First They Killed My Father",Drama
"Fyre: The Greatest Party That Never Happened",Documentary
"Into the Inferno",Documentary
"LA Originals",Documentary
"Ladies First",Documentary
"Love per Square Foot",Rom-Com
Paddleton,Drama
"Private Life",Drama
Seventeen,Comedy
Sometimes,Drama
Soni,Drama
"The 40-Year-Old Version",Comedy
"The Disciple",Drama
"The Edge of Democracy",Documentary
"The King",Historical
"The Road to El Camino: A Breaking Bad Movie",Anime
"The Siege of Jadotville",Action
Zion,Documentary
"Dolemite Is My Name",Biopic
"El Camino: A Breaking Bad Movie",Drama
Extremis,Documentary
"Father Soldier Son",Documentary
"Get Me Roger Stone",Documentary
"I'm No Longer Here",Drama
"Mucho Mucho Amor: The Legend of Walter Mercado",Documentary
"Octonauts & the Great Barrier Reef",Anime
Okja,Action
"On My Skin",Drama
"Raat Akeli Hai",Thriller
"ReMastered: Massacre at the Stadium",Documentary
"ReMastered: The Two Killings of Sam Cooke",Documentary
"Secrets of the Saqqara Tomb",Documentary
"Sitara: Let Girls Dream",Anime
"Sky Ladder: The Art of Cai Guo-Qiang",Documentary
"Team Foxcatcher",Documentary
"The Ballad of Buster Scruggs",Drama
"The Death and Life of Marsha P. Johnson",Documentary
"The Fundamentals of Caring",Comedy
"The Other One: The Long Strange Trip of Bob Weir",Documentary
"American Factory",Documentary
"Fire in Paradise",Documentary
"Long Shot",Documentary
"Miss Americana",Documentary
"Period. End of Sentence.",Documentary
"Shawn Mendes: Live in Concert","Concert Film"
Shirkers,Documentary
"The Black Godfather",Documentary
"The Irishman: In Conversation",Interviews
"The Speed Cubers",Documentary
"They'll Love Me When I'm Dead",Documentary
Tig,Documentary
"Barbra: The Music, The Mem'ries, The Magic!","Concert Film"
"Blackpink: Light Up the Sky",Documentary
"City of Joy",Documentary
"Dick Johnson Is Dead",Documentary
"Homecoming: A Film by Beyonce",Documentary
"Invader Zim: Enter the Florpus",Anime
"Joan Didion: The Center Will Not Hold",Documentary
"John Mulaney & the Sack Lunch Bunch","Variety Show"
"Reversing Roe",Documentary
"The White Helmets",Documentary
"Athlete A",Documentary
Ludo,Comedy
Quincy,Documentary
"Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere",Documentary
"Tell Me Who I Am",Documentary
"The Bleeding Edge",Documentary
"The Social Dilemma",Documentary
"The Two Popes",Drama
"What Happened, Miss Simone?",Documentary
"Yeh Ballet",Drama
Anima,Musical
"Beasts of No Nation",Drama
"Brene Brown: The Call to Courage",Documentary
"Crip Camp: A Disability Revolution",Documentary
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary
"Justin Timberlake + The Tennessee Kids","Concert Film"
"Road to Roma",Anime
Roma,Drama
"If Anything Happens I Love You",Anime
"The Irishman",Drama
"The Trial of the Chicago 7",Drama
"A Secret Love",Documentary
Icarus,Documentary
"Marriage Story",Drama
"The Ivory Game",Documentary
"Struggle: The Life and Lost Art of Szukaiski",Documentary
"Chasing Coral",Documentary
"My Octopus Teacher",Documentary
"Rising Phoenix",Documentary
13th,Documentary
"Disclosure: Trans Lives on Screen",Documentary
Klaus,Anime
Seaspiracy,Documentary
"The Three Deaths of Marisela Escobedo",Documentary
"Cuba and the Cameraman",Documentary
"Dancing with the Birds",Documentary
"Ben Platt: Live from Radio City Music Hall","Concert Film"
"Taylor Swift: Reputation Stadium Tour","Concert Film"
"Winter on Fire: Ukraine's Fight for Freedom",Documentary
"Springsteen on Broadway",Interviews
"Emicida: AmarElo - It's All For Yesterday",Documentary
"David Attenborough: A Life on Our Planet",Documentary
