Title,IMDBScore,GenreID,rank_no
"Kevin Hart's Guide to Black History",5.5,G18,4
"Still Laugh-In: The Stars Celebrate",5.2,G18,5
"Frankenstein's Monster's Monster, Frankenstein",5.9,G19,1
"Special Correspondents",5.8,G19,2
"Rising High",5.8,G19,2
Mascots,5.8,G19,2
"Raat Akeli Hai",7.3,G2,1
"The Devil All the Time",7.1,G2,2
"The Night Comes for Us",7,G2,3
"AK vs AK",6.9,G2,4
Calibre,6.8,G2,5
"The Red Sea Diving Resort",6.6,G2,6
"The Angel",6.6,G2,6
"I'm Thinking of Ending Things",6.6,G2,6
"Bird Box",6.6,G2,6
"His House",6.5,G2,10
Wheelman,6.4,G2,11
Fractured,6.4,G2,11
"Triple Frontier",6.4,G2,11
"The Occupant",6.4,G2,11
"Shimmer Lake",6.3,G2,15
"The Outsider",6.3,G2,15
"Time to Hunt",6.3,G2,15
"In the Shadow of the Moon",6.2,G2,18
"Offering to the Storm",6.2,G2,18
"Lost Bullet",6.2,G2,18
"Unknown Origins",6.1,G2,21
"The Decline",5.9,G2,22
"A Fall from Grace",5.9,G2,22
"I Am All Girls",5.8,G2,24
"The Woman in the Window",5.7,G2,25
"Prime Time",5.7,G2,25
"Velvet Buzzsaw",5.7,G2,25
"Hold the Dark",5.6,G2,28
"The Paramedic",5.6,G2,28
"Red Dot",5.5,G2,30
"Dead Kids",5.5,G2,30
"Ride or Die",5.5,G2,30
Guilty,5.4,G2,33
"Dangerous Lies",5.3,G2,34
"The Most Assassinated Woman in the World",5.3,G2,34
Intuition,5.3,G2,34
Clinical,5.1,G2,37
Rebirth,5,G2,38
"Mrs. Serial Killer",4.8,G2,39
"Coin Heist",4.8,G2,39
"Christmas Crossfire",4.8,G2,39
"Fatal Affair",4.5,G2,42
"The Girl on the Train",4.4,G2,43
"Secret Obsession",4.4,G2,43
"The Last Thing He Wanted",4.3,G2,45
Mercy,4.2,G2,46
"The Last Days of American Crime",3.7,G2,47
"Dark Forces",2.6,G2,48
"Space Sweepers",6.6,G3,1
Oxygen,6.5,G3,2
ARQ,6.4,G3,3
"The Discovery",6.3,G3,4
Spectral,6.3,G3,4
"Project Power",6,G3,6
iBoy,6,G3,6
Extinction,5.8,G3,8
TAU,5.8,G3,8
"The Midnight Sky",5.6,G3,10
Mute,5.5,G3,11
"The Cloverfield Paradox",5.5,G3,11
"Outside the Wire",5.4,G3,13
"See You Yesterday",5.2,G3,14
"Rim of the World",5.2,G3,14
IO,4.7,G3,16
"The App",2.6,G3,17
"Lost Girls",6.1,G4,1
"Earthquake Bird",5.9,G4,2
"Kaali Khuhi",3.4,G4,3
Okja,7.3,G5,1
"The Siege of Jadotville",7.2,G5,2
"The Old Guard",6.7,G5,3
Extraction,6.7,G5,3
"Mowgli: Legend of the Jungle",6.5,G5,5
"Sand Castle",6.3,G5,6
Polar,6.3,G5,6
"Spenser Confidential",6.2,G5,8
"6 Underground",6.1,G5,9
"True Memoirs of an International Assassin",5.9,G5,10
Ultras,5.9,G5,10
"Point Blank",5.7,G5,12
"The Do-Over",5.7,G5,12
"Game Over, Man!",5.4,G5,14
"How It Ends",5,G5,15
"Earth and Blood",4.9,G5,16
Sentinelle,4.7,G5,17
"We Can Be Heroes",4.7,G5,17
"All Because of You",4.2,G5,19
Drive,3.5,G5,20
Ludo,7.6,G6,1
"The Fundamentals of Caring",7.3,G6,2
Seventeen,7.2,G6,3
"The 40-Year-Old Version",7.2,G6,3
"The Christmas Chronicles",7,G6,5
"Rose Island",7,G6,5
"The Lonely Island Presents: The Unauthorized Bash Brothers Experience",6.9,G6,7
Pagglait,6.9,G6,7
"The Meyerowitz Stories (New and Selected)",6.9,G6,7
"Death to 2020",6.8,G6,10
"Brij Mohan Amar Rahe",6.8,G6,10
Tallulah,6.7,G6,12
"Just Another Christmas",6.7,G6,12
"Bad Trip",6.6,G6,14
Chopsticks,6.5,G6,15
"The Incredible Jessica James",6.5,G6,15
"The Heartbreak Club",6.4,G6,17
"Nappily Ever After",6.4,G6,17
"Get the Goat",6.3,G6,19
"Feel the Beat",6.3,G6,19
"The Laundromat",6.3,G6,19
"The Babysitter",6.3,G6,19
"Porta dos Fundos: The Last Hangover",6.3,G6,19
"Crazy Awesome Teachers",6.2,G6,24
"Have You Ever Seen Fireflies?",6.2,G6,24
"Win It All",6.2,G6,24
"Between Two Ferns: The Movie",6.1,G6,27
"Like Father",6.1,G6,27
Otherhood,6.1,G6,27
"Work It",6.1,G6,27
"Murder Mystery",6,G6,31
"The Christmas Chronicles: Part Two",6,G6,31
"War Machine",6,G6,31
"The Polka King",5.9,G6,34
15-Aug,5.8,G6,35
"Candy Jar",5.8,G6,35
"Rajma Chawal",5.8,G6,35
"Small Crimes",5.8,G6,35
"The After Party",5.8,G6,35
"The Babysitter: Killer Queen",5.8,G6,35
"El Camino Christmas",5.7,G6,41
Lionheart,5.7,G6,41
"Little Evil",5.7,G6,41
"The Wrong Missy",5.7,G6,41
"Yes Day",5.7,G6,41
"Bomb Scared",5.6,G6,46
"Brahman Naman",5.6,G6,46
"Double Dad",5.6,G6,46
"The Last Laugh",5.6,G6,46
"The Sleepover",5.6,G6,46
"A Very Murray Christmas",5.5,G6,51
"Get the Grift",5.5,G6,51
"House Arrest",5.5,G6,51
"Step Sisters",5.5,G6,51
"The Legacy of a Whitetail Deer Hunter",5.5,G6,51
"The Package",5.5,G6,51
"Unicorn Store",5.5,G6,51
"Wine Country",5.5,G6,51
"A Babysitter's Guide to Monster Hunting",5.4,G6,59
"Despite Everything",5.4,G6,59
Naked,5.4,G6,59
"Back to School",5.3,G6,62
#REALITYHIGH,5.2,G6,63
"Tall Girl",5.2,G6,63
"Handsome: A Netflix Mystery Movie",5.2,G6,63
"Sandy Wexler",5.2,G6,63
"The Week Of",5.2,G6,63
Ibiza,5.2,G6,63
"Hubie Halloween",5.2,G6,63
"Girlfriend's Day",5.2,G6,63
"Father of the Year",5.2,G6,63
Dude,5.1,G6,72
"Coffee & Kareem",5.1,G6,72
"Airplane Mode",5,G6,74
"The Main Event",4.8,G6,75
"Take the 10",4.8,G6,75
"5 Star Christmas",4.6,G6,77
"Porta dos Fundos: The First Temptation of Christ",4.6,G6,77
"The Players",4.6,G6,77
"Seriously Single",4.5,G6,80
"The Misadventures of Hedi and Cokeman",4.5,G6,80
"Thunder Force",4.4,G6,82
Sextuplets,4.4,G6,82
"What Happened to Mr. Cha?",4.3,G6,84
"Sardar Ka Grandson",4.1,G6,85
"Leyla Everlasting",3.7,G6,86
"Marriage Story",7.9,G7,1
"The Trial of the Chicago 7",7.8,G7,2
"The Irishman",7.8,G7,2
Roma,7.7,G7,4
"Beasts of No Nation",7.7,G7,4
"The Two Popes",7.6,G7,6
"Yeh Ballet",7.6,G7,6
"On My Skin",7.3,G7,8
"The Ballad of Buster Scruggs",7.3,G7,8
"I'm No Longer Here",7.3,G7,8
"El Camino: A Breaking Bad Movie",7.3,G7,8
"The Disciple",7.2,G7,12
Soni,7.2,G7,12
"First They Killed My Father",7.2,G7,12
Paddleton,7.2,G7,12
"Private Life",7.2,G7,12
Sometimes,7.2,G7,12
"Pieces of a Woman",7.1,G7,18
"The White Tiger",7.1,G7,18
"The Dig",7.1,G7,18
Ferry,7.1,G7,18
"Derren Brown: Sacrifice",7.1,G7,18
Beats,7.1,G7,18
"Ma Rainey's Black Bottom",7,G7,24
"The Highwaymen",6.9,G7,25
"I Don't Feel at Home in This World Anymore",6.9,G7,25
